Dataset,Model,Source Language,Target Language,Pass@1* (%),Pass@1 (%),Pass@5 (%),Verified,Conversational,Paper
CodeNet,CodeLlama-7B,C,C++,18,35.9,77.4,Y,Y,https://arxiv.org/abs/2308.12950
CodeNet,CodeLlama-7B,C,Go,3,11.3,32.7,Y,Y,https://arxiv.org/abs/2308.12950
CodeNet,CodeLlama-7B,C,Java,59.5,59.9,71,Y,Y,https://arxiv.org/abs/2308.12950
CodeNet,CodeLlama-7B,C,Python,31,29,44.3,Y,Y,https://arxiv.org/abs/2308.12950
CodeNet,CodeLlama-7B,C++,C,9,17.8,45.7,Y,Y,https://arxiv.org/abs/2308.12950
CodeNet,CodeLlama-7B,C++,Go,13,12.9,32.4,Y,Y,https://arxiv.org/abs/2308.12950
CodeNet,CodeLlama-7B,C++,Java,54.5,54.3,69.2,Y,Y,https://arxiv.org/abs/2308.12950
CodeNet,CodeLlama-7B,C++,Python,28,27.6,50,Y,Y,https://arxiv.org/abs/2308.12950
CodeNet,CodeLlama-7B,Go,C,5.5,19.5,40.9,Y,Y,https://arxiv.org/abs/2308.12950
CodeNet,CodeLlama-7B,Go,C++,31.5,26.9,62.4,Y,Y,https://arxiv.org/abs/2308.12950
CodeNet,CodeLlama-7B,Go,Java,0,5.3,21.1,Y,Y,https://arxiv.org/abs/2308.12950
CodeNet,CodeLlama-7B,Go,Python,5.5,6.4,24.6,Y,Y,https://arxiv.org/abs/2308.12950
CodeNet,CodeLlama-7B,Java,C,9,25.4,52,Y,Y,https://arxiv.org/abs/2308.12950
CodeNet,CodeLlama-7B,Java,C++,27.5,28.5,66,Y,Y,https://arxiv.org/abs/2308.12950
CodeNet,CodeLlama-7B,Java,Go,17.5,17.1,40,Y,Y,https://arxiv.org/abs/2308.12950
CodeNet,CodeLlama-7B,Java,Python,10,11.2,33.5,Y,Y,https://arxiv.org/abs/2308.12950
CodeNet,CodeLlama-7B,Python,C,3.5,11.9,33.4,Y,Y,https://arxiv.org/abs/2308.12950
CodeNet,CodeLlama-7B,Python,C++,30,24.2,60.9,Y,Y,https://arxiv.org/abs/2308.12950
CodeNet,CodeLlama-7B,Python,Go,21,20.4,31.5,Y,Y,https://arxiv.org/abs/2308.12950
CodeNet,CodeLlama-7B,Python,Java,36,37.3,63.7,Y,Y,https://arxiv.org/abs/2308.12950
Avatar,CodeLlama-7B,Java,C,1.6,3.7,10.8,Y,Y,https://arxiv.org/abs/2308.12950
Avatar,CodeLlama-7B,Java,C++,8,7.1,26.2,Y,Y,https://arxiv.org/abs/2308.12950
Avatar,CodeLlama-7B,Java,Go,14,11,22.7,Y,Y,https://arxiv.org/abs/2308.12950
Avatar,CodeLlama-7B,Java,Python,13.2,12.6,34.1,Y,Y,https://arxiv.org/abs/2308.12950
Avatar,CodeLlama-7B,Python,C,1.6,5.7,10.8,Y,Y,https://arxiv.org/abs/2308.12950
Avatar,CodeLlama-7B,Python,C++,6,5,17.4,Y,Y,https://arxiv.org/abs/2308.12950
Avatar,CodeLlama-7B,Python,Go,8.4,6.2,10.6,Y,Y,https://arxiv.org/abs/2308.12950
Avatar,CodeLlama-7B,Python,Java,20.4,21,33.1,Y,Y,https://arxiv.org/abs/2308.12950
